MUNICIPIO,departamento,SUPERFICIE SEMBRADA,SUPERFICIE SEMBRADA CON SEMILLA MEJORADA,SUPERFICIE COSECHADA PARA GRANO Y SEMILLA,SUPERFICIE COSECHADA PARA FORRAJE VERDE (Mz),SUPERFICIE COSECHADA PARA ELOTE (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),PRODUCCIÓN PARA FORRAJE VERDE (TM),PRODUCCIÓN PARA ELOTE (CIENTOS),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
POLOROS,LA UNION,1702.20,439.70,1639.96,53.64,0.37,34828,1217,75,2129,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6627184008750,0.009228017309440,134
CONCEPCION DE ATACO,LA UNION,112.28,104.80,111.67,,0.61,3275,,146,2039,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4555115021080,0.005829557426000,135
YUCUAIQUIN,LA UNION,988.64,277.02,976.06,2.21,,27155,38,,2254,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3226197156850,0.004021228267190,136
BOLIVAR,LA UNION,838.20,332.28,835.55,,,24273,,,2012,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3334969263510,0.005054894169540,137
SAN JOSE,LA UNION,519.65,200.41,513.95,5.70,,13540,68,,2168,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2487224906330,0.003388737093200,138
YAYANTIQUE,LA UNION,1107.38,509.15,1095.76,,,34624,,,2252,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2914460941460,0.003514095075650,139
EL CARMEN,LA UNION,1828.78,641.67,1679.19,121.91,0.34,49840,3123,97,2051,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4959054499700,0.011745884260200,140
LA UNION,LA UNION,4002.02,1504.35,3962.89,18.00,10.60,126295,257,2447,2094,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.3330099167500,0.012135765298700,141
MEANGUERA DEL GOLFO,LA UNION,376.96,149.00,376.96,,,10710,,,2102,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3548591015390,0.002061234867330,142
JIQUILISCO,USULUTAN,9016.86,8507.31,8920.46,20.17,63.57,464710,421,20567,2081,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.1534446724200,0.035911029233900,143
SANTA ELENA,USULUTAN,2890.34,2766.65,2811.08,53.99,25.27,129052,1258,4646,2208,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3076168712180,0.005351687823720,144
SAN FRANCISCO JAVIER,USULUTAN,1380.28,1324.19,1379.39,0.89,,71001,36,,2157,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3045621353310,0.004077432349760,145
TECAPAN,USULUTAN,1147.32,1033.81,1144.62,,,50746,,,2235,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2619271811140,0.003547576586870,146
CALIFORNIA,USULUTAN,81.67,74.72,81.67,,,3602,,,2014,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1642202123520,0.001539339541640,147
OZATLAN,USULUTAN,1848.03,1794.50,1842.86,4.31,0.86,82468,129,206,2124,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3607556389960,0.003960184455800,148
SANTA MARIA,USULUTAN,520.01,481.95,486.31,21.28,12.42,18542,568,3680,2210,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1727049050340,0.001371818636780,149
EREGUAYQUIN,USULUTAN,846.80,814.14,784.35,17.60,44.84,30484,528,12751,2065,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2245057127320,0.001485166861140,150
USULUTAN,USULUTAN,3404.59,3208.23,3235.49,42.86,116.83,127706,1637,29834,2248,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.1653780395000,0.019470098351300,151
COMASAGUA,USULUTAN,1202.84,1175.17,1179.41,,,51430,,,2037,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5066009797810,0.008881388831390,152
SAN DIONISIO,USULUTAN,330.25,279.92,270.88,13.13,46.08,9828,264,12223,2150,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2023463159860,0.002468127817660,153
PUERTO EL TRIUNFO,USULUTAN,855.87,757.55,852.96,,0.54,40904,,134,2131,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6668259141900,0.014029780479200,154
JUCUARAN,USULUTAN,1980.19,1248.41,1973.42,,0.30,59352,,72,2087,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.9939103847240,0.019650537343800,155
SESORI,SAN MIGUEL,1951.79,379.47,1938.56,9.26,0.38,45448,198,91,2225,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7479027543750,0.016370219493500,156
NUEVO EDEN DE SAN JUAN,SAN MIGUEL,729.55,560.09,707.17,21.12,1.26,22609,522,315,2119,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4805303376220,0.009032373360920,157
DOLORES,CABANAS,953.74,904.95,868.69,85.05,,41448,2280,,2048,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6126079299120,0.011583327114200,158
SAN GERARDO,SAN MIGUEL,738.21,477.62,719.80,6.81,0.60,18588,183,89,2161,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3765621883590,0.006731847061300,159
SAN LUIS DE LA REINA,SAN MIGUEL,692.53,155.21,686.66,4.52,1.35,12579,110,323,2178,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3406785964310,0.004750960150880,160
CAROLINA,SAN MIGUEL,1204.93,392.27,1166.78,0.63,,22967,16,,2019,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3937167680580,0.004422079662980,161
SAN ANTONIO,SAN MIGUEL,960.90,291.19,959.41,,,18954,,,2139,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2869584673460,0.002810410083160,162
CIUDAD BARRIOS,SAN MIGUEL,1536.15,467.12,1519.11,9.06,1.85,30374,256,479,2030,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5358976995370,0.009723881386760,163
CHAPELTIQUE,SAN MIGUEL,1303.04,361.51,1231.56,53.18,0.92,31804,1387,241,2022,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4676859322580,0.008643768371660,164
LOLOTIQUE,SAN MIGUEL,2038.00,913.09,2010.20,13.58,11.96,55214,375,2561,2098,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3810063359160,0.006082502137910,165
MONCAGUA,SAN MIGUEL,2295.23,935.44,2233.04,29.14,10.94,63724,728,2821,2107,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4422711937840,0.007911893821830,166
NUEVA GUADALUPE,SAN MIGUEL,574.09,395.28,562.46,,4.81,16220,,1202,2116,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2195207891030,0.001310401228240,167
CHINAMECA,SAN MIGUEL,2179.38,1745.73,2120.92,21.07,1.76,64635,709,395,2025,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5094259440090,0.007911690060390,168
SAN JORGE,SAN MIGUEL,860.12,775.07,849.76,6.35,,27253,222,,2167,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2309884879580,0.003390275112320,169
QUELEPA,SAN MIGUEL,257.83,138.13,253.35,2.52,1.97,7453,60,561,2132,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2081893097100,0.001401685435920,170
SAN MIGUEL,SAN MIGUEL,9361.59,6713.15,8322.55,388.07,546.98,263708,11142,164322,2185,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.4507992743200,0.052838176283800,171
SAN RAFAEL ORIENTE,SAN MIGUEL,1308.42,1169.05,1297.70,1.23,2.54,46544,49,469,2196,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3256104374790,0.003120912555340,172
EL TRANSITO,SAN MIGUEL,1851.18,1651.45,1693.18,88.21,56.45,61981,3311,12681,2063,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5367335192720,0.006750314463010,173
CHIRILAGUA,SAN MIGUEL,2760.26,1385.38,2662.14,48.51,3.88,82453,1463,895,2026,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7729588998640,0.018545577543000,174
ULUAZAPA,SAN MIGUEL,493.98,216.33,490.49,3.14,,13692,110,,2247,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2321449780810,0.002544667979010,175
COLON,SAN MIGUEL,1023.53,1016.08,456.77,,566.76,20519,,299961,2034,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2557307266090,0.003457016830150,176
SOCIEDAD,MORAZAN,1817.62,499.38,1780.06,7.57,3.22,48201,108,1686,2226,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5140851987160,0.009299017319910,177
CACAOPERA,MORAZAN,1376.72,540.59,1365.77,6.63,1.91,27034,114,460,2013,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5936269938550,0.010474813334600,178
SAN FERNANDO,MORAZAN,194.22,84.51,190.19,,0.19,3728,,47,2154,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2599836767870,0.003091542340480,179
ARAMBALA,MORAZAN,169.92,78.17,166.44,,2.41,3167,,225,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3913808121710,0.005872001501850,180
PERQUIN,MORAZAN,160.80,56.36,154.63,,0.34,3426,,84,2128,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3187004061500,0.002032554334860,181
JOCOAITIQUE,MORAZAN,366.20,169.15,365.79,,,7950,,,2083,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2411984762090,0.002429974525220,182
TOROLA,MORAZAN,634.64,245.32,632.60,0.78,1.25,14004,12,401,2245,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3371638717980,0.004096107908700,183
SAN ISIDRO,MORAZAN,419.85,218.09,419.85,,,7987,,,2165,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1235202735950,0.000863481905120,184
EL ROSARIO,MORAZAN,208.30,142.40,208.30,,,5292,,,2061,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1905672328890,0.001816920411960,185
MEANGUERA,MORAZAN,778.80,234.67,761.63,1.56,0.80,16869,25,191,2101,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3990046694670,0.004648294100140,186
JOATECA,MORAZAN,567.01,305.28,561.55,,0.16,13178,,123,2082,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4723114075250,0.005772854694290,187
SAN SIMON,MORAZAN,1020.96,384.85,1018.93,,2.04,19101,,678,2201,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3339102538570,0.003623927879050,188
GUALOCOCTI,MORAZAN,392.90,159.83,386.51,,3.73,8325,,1087,2069,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2123010416110,0.001522483653550,189
DELICIAS DE CONCEPCION,MORAZAN,379.05,261.38,374.19,,1.37,7005,,761,2047,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2430312306890,0.002054919011660,190
YOLOAIQUIN,MORAZAN,416.31,254.43,416.31,15.96,,9097,335,,2253,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2090910928360,0.001625847323030,191
MERCEDES UMAÑA,USULUTAN,2346.99,1681.29,2310.80,22.87,1.49,82184,651,359,2105,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4474716737310,0.006240556208180,192
OSCICALA,MORAZAN,634.45,285.21,624.85,,10.85,14374,,2167,2123,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2717368792040,0.002993973954270,193
SANTA ISABEL ISHUATAN,SONSONATE,1544.39,1447.82,1507.53,,5.94,58341,,1560,2209,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5386951809400,0.008343140398340,194
CORINTO,SONSONATE,1625.31,400.54,1601.93,10.04,2.07,31462,320,558,2043,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5019488451790,0.007006217378200,195
ACAJUTLA,SONSONATE,2845.98,2682.98,2707.49,19.11,10.70,104870,505,2332,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7272700668660,0.013581416250800,196
NAHULINGO,SONSONATE,551.76,471.37,517.20,2.01,4.32,19028,103,692,2110,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3573137472590,0.002937616685870,197
CALUCO,SONSONATE,1355.12,1294.54,1287.90,55.00,1.95,57561,1500,509,2015,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3532510041270,0.004485581955300,198
SAN ANTONIO DEL MONTE,SONSONATE,778.97,689.07,722.66,31.24,0.78,30526,2201,219,2141,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2239962807370,0.002161776732110,199
SONSONATE,SONSONATE,2746.85,2540.03,2526.90,20.96,4.30,103198,793,1065,2227,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.2799888245000,0.017941280307900,200
SAN JULIAN,SONSONATE,1858.22,1646.15,1809.14,4.45,29.37,70289,134,8420,2175,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5217016567350,0.006025688340800,201
ARMENIA,SONSONATE,1761.04,1692.64,1715.35,6.00,,78086,180,,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5520419618920,0.006226264795980,202
IZALCO,SONSONATE,3391.68,3240.94,3260.90,34.97,3.13,132318,1040,768,2077,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.9087937182930,0.014786041397800,203
SANTA CATARINA MASAHUAT,SONSONATE,1056.57,918.91,1033.74,,0.59,37755,,156,2204,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2708783391400,0.002698342553080,204
SALCOATITAN,SONSONATE,46.74,43.13,46.21,,,1697,,,2136,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2096884318810,0.001067418933920,205
NAHUIZALCO,SONSONATE,1538.43,1268.84,1461.43,8.36,43.15,54503,317,3652,2109,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5409572867840,0.005662811173340,206
JUAYUA,SONSONATE,262.07,184.72,251.83,5.34,0.30,10671,187,82,2085,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4633252204570,0.007488505765300,207
SONZACATE,SONSONATE,55.76,52.14,47.84,4.00,1.49,1419,75,520,2228,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1702902921380,0.000486095683682,208
ROSARIO DE MORA,SAN SALVADOR,818.42,772.97,817.40,,,35475,,,2134,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3262598485680,0.003147273744370,209
PANCHIMALCO,SAN SALVADOR,1527.16,1425.25,1509.91,7.64,1.17,68920,188,266,2125,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5845739357360,0.008108354126550,210
SAN MARCOS,SAN SALVADOR,155.26,153.39,153.62,,1.64,7755,,349,2182,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2671665986980,0.001402508279650,211
SANTO TOMAS,SAN SALVADOR,376.46,358.11,375.13,,2.01,15140,,409,2222,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2547039069970,0.002212506710600,212
SANTIAGO TEXACUANGOS,SAN SALVADOR,191.98,182.43,190.64,,1.34,9251,,269,2219,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3275249738620,0.003126682620710,213
ILOPANGO,SAN SALVADOR,581.15,566.62,546.70,1.66,32.79,24150,37,6600,2075,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3245382191290,0.002903446499500,214
CUISNAHUAT,SAN SALVADOR,1665.60,1466.55,1624.89,15.07,,64397,421,,2044,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1836741889670,0.000534404487243,215
SOYAPANGO,SAN SALVADOR,199.37,170.21,199.37,,,8956,,,2229,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2906018849890,0.002499317397840,216
SAN SALVADOR,SAN SALVADOR,122.52,87.24,122.02,,0.50,6014,,120,2198,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4768592492120,0.005970037037750,217
MEJICANOS,SAN SALVADOR,153.19,150.60,144.80,,1.74,6563,,418,2103,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2708461970190,0.001629688690320,218
AYUTUXTEPEQUE,SAN SALVADOR,496.05,401.16,489.72,,0.50,21778,,249,2009,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1926717026160,0.000745931676521,219
CUYULTITAN,SAN SALVADOR,295.48,290.28,295.48,,,17000,,,2046,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3247470533880,0.002789860366760,220
SAN MARTIN,SAN SALVADOR,703.70,672.19,703.08,,0.62,29894,,151,2183,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3668291443190,0.004677622010400,221
TONACATEPEQUE,SAN SALVADOR,2010.85,1797.07,1975.49,1.84,3.53,90474,68,1080,2244,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4056080196180,0.005672780306450,222
APOPA,SAN SALVADOR,959.09,913.21,957.01,,,49107,,,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4153832166770,0.004434596995880,223
NEJAPA,SAN SALVADOR,2025.62,1962.46,2017.90,,,107334,,,2111,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5422503118310,0.006970145808700,224
GUAZAPA,SAN SALVADOR,2138.96,2012.30,2130.69,6.61,0.26,101854,170,47,2072,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3882046165120,0.005416954329170,225
AGUILARES,SAN SALVADOR,780.52,719.78,744.90,29.04,,34720,1116,,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3299119214960,0.002809642738720,226
EL PAISNAL,SAN SALVADOR,1721.32,1639.94,1652.52,25.67,22.57,80538,863,6529,2055,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6363199669420,0.010558997877300,227
SAN PEDRO PUXTLA,AHUACHAPAN,621.43,606.59,620.03,,,20470,,,2192,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2705611569990,0.002092409477810,228
JUJUTLA,AHUACHAPAN,3557.31,3450.11,3366.14,2.97,3.18,127187,89,763,2088,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8704245268110,0.014975992405000,229
APANECA,AHUACHAPAN,83.89,75.72,83.89,,,2282,,,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3061950137410,0.003400926132920,230
CONCEPCION BATRES,AHUACHAPAN,3042.78,2861.35,1852.65,307.33,864.16,74714,9334,219821,2038,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5604370940440,0.005702343997420,231
SAN FRANCISCO MENENDEZ,AHUACHAPAN,4135.91,3898.53,3894.31,39.61,30.55,156456,976,9010,2159,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.0236187652600,0.021990669032100,232
TACUBA,AHUACHAPAN,4101.30,3379.21,4049.28,,0.88,113425,,251,2231,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8682029090580,0.013161185141000,233
TURIN,AHUACHAPAN,542.97,529.50,538.19,,,24294,,,2246,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1705978696390,0.000834668851920,234
EL REFUGIO,AHUACHAPAN,438.01,358.12,391.10,,,19150,,,2058,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1623804504580,0.000946288244863,235
ATIQUIZAYA,AHUACHAPAN,2101.73,2013.41,2061.18,28.71,2.80,90261,1115,672,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4775711491020,0.005261967331050,236
AHUACHAPAN,AHUACHAPAN,9426.08,8437.76,9257.96,3.45,3.09,370236,117,751,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7701843926820,0.020979681045300,237
SAN LORENZO,AHUACHAPAN,2397.79,2160.86,2363.69,26.95,3.85,103042,918,1163,2176,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2348671507680,0.001689975781310,238
ZONA DE DEMARCACION LIMITROFE,CHALATENANGO,,,,,,,,,2257,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2636386150390,0.002629959335280,239
ZONA DE DEMARCACION LIMITROFE,CHALATENANGO,,,,,,,,,2258,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.179415412,0.00079517,240
LA LIBERTAD,LA LIBERTAD,2202.10,2170.83,2191.18,5.28,2.90,104745,135,1261,2091,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8779248179690,0.011406007685200,241
JICALAPA,LA LIBERTAD,860.87,844.96,815.90,0.69,,33406,14,,2080,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3351722826570,0.004243014417820,242
ZARAGOZA,LA LIBERTAD,570.31,541.70,564.60,,0.80,23657,,196,2256,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2555102906950,0.001888451421080,243
SAN JOSE VILLANUEVA,LA LIBERTAD,791.03,784.77,791.03,,,39544,,,2170,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3554982545820,0.002900573032440,244
HUIZUCAR,LA LIBERTAD,1143.15,1102.75,1141.13,,2.02,58454,,680,2073,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4532186309050,0.004542532408720,245
TAMANIQUE,LA LIBERTAD,1483.50,1452.19,1463.76,2.75,,65267,83,,2233,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5468069213400,0.008273678401540,246
CHILTIUPAN,LA LIBERTAD,1256.53,1231.86,1231.78,,,49979,,,2024,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5223494255100,0.007061722474320,247
NUEVO CUSCATLAN,LA LIBERTAD,196.75,191.44,196.75,,,6524,,,2118,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1361455185020,0.000724384680159,248
TEOTEPEQUE,LA LIBERTAD,1375.75,1316.13,1298.31,5.28,,46853,158,,2240,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5985577889630,0.008455365306440,249
COMALAPA,LA LIBERTAD,291.84,259.13,288.24,3.60,,11550,108,,2036,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4858059481040,0.006704043747300,250
ANTIGUO CUSCATLAN,LA LIBERTAD,154.42,154.29,154.42,,,7448,,,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2590257828790,0.001797245776680,251
TALNIQUE,LA LIBERTAD,403.49,381.90,373.52,,0.83,14656,,199,2232,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2756154209980,0.002730712015320,252
JAYAQUE,LA LIBERTAD,472.67,461.61,468.54,,0.28,22791,,66,2078,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3539428973700,0.003540363537160,253
TEPECOYO,LA LIBERTAD,1005.73,961.91,1001.62,,0.53,43309,,132,2241,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3646259963770,0.004170349781230,254
SANTA TECLA,LA LIBERTAD,765.76,752.02,765.76,,,37326,,,2215,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7613549058100,0.009072591053780,255
COJUTEPEQUE,LA LIBERTAD,728.15,664.49,717.43,5.24,4.60,27313,131,1314,2033,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4584598738210,0.006384359087670,256
SACACOYO,LA LIBERTAD,838.30,810.68,554.82,15.42,266.71,24518,463,85506,2135,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3307366088350,0.002089501477450,257
CIUDAD ARCE,LA LIBERTAD,4336.12,3852.08,3181.12,190.77,562.08,145119,5335,207936,2029,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5162501516900,0.006457505027000,258
QUEZALTEPEQUE,LA LIBERTAD,1821.60,1803.21,1801.68,19.92,,84955,697,,2133,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6203351611660,0.010577420312500,259
SAN MATIAS,LA LIBERTAD,1834.55,1823.04,1825.06,9.49,,71882,240,,2184,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4324836417230,0.004327146032920,260
SAN JUAN OPICO,LA LIBERTAD,5870.29,5709.49,5710.30,63.29,90.82,250299,1145,21179,2172,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8960556921240,0.019190511645100,261
SAN PABLO TACACHICO,LA LIBERTAD,2707.83,2622.32,2634.09,65.71,3.03,121854,2088,1177,2188,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6016617615090,0.010613292917700,262
ZONA DE DEMARCACION LIMITROFE,MORAZAN,,,,,,,,,2263,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.120500732,0.000384176,263
ZONA DE DEMARCACION LIMITROFE,CHALATENANGO,,,,,,,,,2259,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.492327506,0.010499877,264
ZONA DE DEMARCACION LIMITROFE,CHALATENANGO,,,,,,,,,2260,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.128342608,0.000647329,265
ZONA DE DEMARCACION LIMITROFE,MORAZAN,,,,,,,,,2264,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.475995989,0.006098224,266
ZONA DE DEMARCACION LIMITROFE,MORAZAN,,,,,,,,,2265,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.283272604,0.00326334,267
ZONA DE DEMARCACION LIMITROFE,LA UNION,,,,,,,,,2261,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.160976916,0.000816737,268
ZONA DE DEMARCACION LIMITROFE,LA UNION,,,,,,,,,2262,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.061849734,0.000103186,269
GUAYMANGO,AHUACHAPAN,3544.59,3451.16,3410.14,0.15,,108636,3,,2071,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3839553642860,0.006568892211600,270
SANTO DOMINGO DE GUZMAN,SONSONATE,860.24,835.48,843.21,0.80,5.43,37050,3,1359,2221,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2465935111740,0.002340258769000,271
